"","first_name","last_name","team","position","adp","avg_price","gsis_id"
"92","Marquez","Callaway","NO","WR",136.2,1.9,"00-0036219"
"93","Marquise","Brown","BAL","WR",120.4,1.7,"00-0035662"
"94","Marvin","Jones","DET","WR",115.7,1.9,"00-0029293"
"95","Matt","Ryan","ATL","QB",154.9,1.1,"00-0026143"
"96","Mecole","Hardman","KC","WR",148.8,1.1,"00-0035140"
"97","Melvin","Gordon","DEN","RB",108.7,3.1,"00-0032144"
"98","Michael","Gallup","DAL","WR",100.4,2.8,"00-0034764"
"99","Michael","Pittman","IND","WR",139.3,1.4,"00-0036252"
"100","Michael","Thomas","NO","WR",94.5,5.7,"00-0032765"
"101","Mike","Evans","TB","WR",34.3,23.6,"00-0031408"
"102","Mike","Gesicki","MIA","TE",113.7,1.9,"00-0034829"
"103","Mike","Williams","LAC","WR",127.7,1.6,"00-0033536"
"104","Miles","Sanders","PHI","RB",38.9,23.6,"00-0035243"
"105","Myles","Gaskin","MIA","RB",70.7,9.8,"00-0035311"
"106","Nelson","Agholor","LV","WR",164.6,0.4,"00-0031549"
"107","Nick","Chubb","CLE","RB",12.4,50.7,"00-0034791"
"108","Noah","Fant","DEN","TE",92.4,3.4,"00-0035644"
"109","Nyheim","Hines","IND","RB",140.6,1.1,"00-0034367"
"110","Odell","Beckham","CLE","WR",71.3,9.9,"00-0031235"
"111","Parris","Campbell","IND","WR",161.5,0.6,"00-0035639"
"112","Patrick","Mahomes","KC","QB",19.4,34.2,"00-0033873"
"113","Raheem","Mostert","SF","RB",92.7,5.1,"00-0031687"
"114","Randall","Cobb","HOU","WR",163.3,0.5,"00-0028002"
"115","Rob","Gronkowski","TB","TE",126.2,1.6,"00-0027656"
"116","Robby","Anderson","CAR","WR",78.1,6.3,"00-0032688"
"117","Robert","Tonyan","GB","TE",96,2.9,"00-0033757"
"118","Robert","Woods","LA","WR",39.4,21.3,"00-0030431"
"119","Ronald","Jones","TB","RB",123.5,2.2,"00-0034816"
"120","Russell","Gage","ATL","WR",164.9,0.4,"00-0034411"
"121","Russell","Wilson","SEA","QB",58.3,11.1,"00-0029263"
"122","Ryan","Tannehill","TEN","QB",109.7,3.4,"00-0029701"
"123","Saquon","Barkley","NYG","RB",7,57.8,"00-0034844"
"124","Sony","Michel","NE","RB",108,3.3,"00-0034845"
"125","Stefon","Diggs","BUF","WR",16.1,44.9,"00-0031588"
"126","T.J.","Hockenson","DET","TE",62.2,8,"00-0035229"
"127","T.Y.","Hilton","IND","WR",157.3,0.8,"00-0029608"
"128","Tee","Higgins","CIN","WR",66.3,10.2,"00-0036410"
"129","Terry","McLaurin","WAS","WR",30.1,29.1,"00-0035659"
"130","Tom","Brady","TB","QB",69.6,7.4,"00-0019596"
"131","Tony","Pollard","DAL","RB",160,0.8,"00-0035261"
"132","Travis","Kelce","KC","TE",8,55.3,"00-0030506"
"133","Tua","Tagovailoa","MIA","QB",147.1,1.4,"00-0036212"
"134","Ty'Son","Williams","BAL","RB",168.3,0.2,"00-0036457"
"135","Tyler","Boyd","CIN","WR",97.1,3.4,"00-0033009"
"136","Tyler","Higbee","LA","TE",132.5,1.7,"00-0033110"
"137","Tyler","Lockett","SEA","WR",49.5,16.8,"00-0032211"
"138","Tyreek","Hill","KC","WR",11.5,51.6,"00-0033040"
"139","Tyrell","Williams","LV","WR",161.6,0.6,"00-0032160"
"140","Zach","Ertz","PHI","TE",162.9,0.4,"00-0030061"
"141","Zack","Moss","BUF","RB",119.6,2.2,"00-0036251"
