"","receiver","gsis_id","games","hPPR_pts","exp_hPPR_pts","exp_hPPR_pts_pg","hPPR_over_exp"
"296","D.Dallas","00-0036425",7,25.6,22.9725209659596,3.2817887094228,2.62747903404039
"297","D.Metcalf","00-0035640",16,231.8,204.982120403837,12.8113825252398,26.817879596163
"298","D.Moore","00-0033589",16,95.2,74.5732295482334,4.66082684676459,20.6267704517666
"299","F.Swain","00-0036247",12,34.4,31.3675085699049,2.61395904749207,3.03249143009512
"300","G.Olsen","00-0025418",11,41.9,55.7980435124357,5.07254941022143,-13.8980435124357
"301","J.Hollister","00-0033387",13,51.4,58.6105301065023,4.50850231588479,-7.2105301065023
"302","T.Homer","00-0035594",5,19.5,12.1749951946567,2.43499903893134,7.32500480534329
"303","T.Lockett","00-0032211",16,215.4,195.783902221837,12.2364938888648,19.6160977781632
"304","W.Dissly","00-0034159",14,49.1,40.6292968203528,2.9020926300252,8.47070317964719
"305","B.Aiyuk","00-0036261",12,135.1,146.152645454493,12.1793871212077,-11.052645454493
"306","D.Samuel","00-0035719",6,61.6,48.2152833948866,8.03588056581444,13.3847166051134
"307","G.Kittle","00-0033288",8,99.4,77.0717676033831,9.63397095042289,22.3282323966169
"308","J.McKinnon","00-0031376",13,47.8,51.0445020460962,3.92650015739202,-3.2445020460962
"309","J.Reed","00-0030472",10,60.1,64.9904889188714,6.49904889188714,-4.89048891887143
"310","J.Wilson","00-0034115",9,37.8,33.5135137118101,3.72372374575668,4.28648628818986
"311","K.Bourne","00-0033307",15,103.2,102.856799520372,6.85711996802481,0.34320047962791
"312","K.Juszczyk","00-0029892",16,53.7,43.9499478085957,2.74687173803723,9.75005219140429
"313","R.Dwelley","00-0034073",10,40,29.9081711457455,2.99081711457455,10.0918288542545
"314","R.James","00-0034286",7,56.6,49.0850955423137,7.01215650604482,7.51490445768628
"315","R.Mostert","00-0031687",7,15.5,17.617312382504,2.51675891178628,-2.11731238250398
"316","T.Taylor","00-0033292",7,13.6,29.3729086877419,4.19612981253455,-15.7729086877419
"317","A.Brown","00-0027793",8,94.8,85.3114367232718,10.663929590409,9.48856327672819
"318","C.Brate","00-0031273",13,54.2,47.2233095053107,3.63256226963929,6.97669049468928
"319","C.Godwin","00-0033921",12,158.5,125.794532750725,10.4828777292271,32.7054672492752
"320","J.Watson","00-0034386",3,12.9,13.7738545496435,4.59128484988117,-0.873854549643521
"321","K.Vaughn","00-0036450",5,11.9,11.6325036522312,2.32650073044623,0.267496347768827
"322","L.Fournette","00-0033856",12,41.3,51.9992237101744,4.33326864251454,-10.6992237101744
"323","L.McCoy","00-0027029",8,17.6,20.6109483754486,2.57636854693107,-3.01094837544857
"324","M.Evans","00-0031408",16,213.6,177.911734923659,11.1194834327287,35.6882650763408
"325","O.Howard","00-0033879",4,32.1,28.1616601875147,7.04041504687868,3.93833981248527
"326","R.Gronkowski","00-0027656",16,126.8,129.0239930986,8.06399956866251,-2.22399309860019
"327","R.Jones","00-0034816",13,36.5,47.9474363094362,3.68826433149509,-11.4474363094362
"328","S.Miller","00-0035298",14,84.6,81.7570213810919,5.83978724150657,2.84297861890809
"329","T.Johnson","00-0036427",10,34.9,31.213309946136,3.1213309946136,3.68669005386397
"330","A.Brown","00-0035676",14,208.5,147.43097778067,10.5307841271907,61.0690222193298
"331","A.Firkser","00-0033455",15,64.2,70.0898958868843,4.67265972579229,-5.88989588688432
"332","A.Humphries","00-0032009",7,46.3,44.592834824528,6.37040497493256,1.70716517547204
"333","C.Batson","00-0034652",8,22,16.4805160259609,2.06006450324511,5.51948397403909
"334","C.Davis","00-0033871",14,160.9,132.966290006944,9.49759214335315,27.933709993056
"335","D.Henry","00-0032764",13,20.9,32.2216495587344,2.47858842759495,-11.3216495587344
"336","G.Swaim","00-0032141",6,18.8,17.154579446096,2.85909657434933,1.64542055390399
"337","J.McNichols","00-0033955",12,11.5,18.6113570826762,1.55094642355635,-7.11135708267618
"338","J.Smith","00-0033858",14,113.3,100.748882436714,7.1963487454796,12.5511175632855
"339","K.Raymond","00-0032464",8,23.2,22.4149114532503,2.80186393165628,0.785088546749737
"340","M.Pruitt","00-0031585",5,19.4,14.4472292589777,2.88944585179555,4.95277074102225
"341","A.Gibson","00-0036328",13,42.7,44.3380278891317,3.41061752993321,-1.63802788913167
"342","C.Sims","00-0034104",11,69.7,67.5902686764671,6.14456987967883,2.10973132353293
"343","D.Inman","00-0028411",7,37.3,34.7936099928622,4.97051571326603,2.50639000713777
"344","I.Wright","00-0036142",11,33.2,41.6773451634118,3.78884956031017,-8.47734516341182
"345","J.McKissic","00-0032602",15,110.9,117.435918035538,7.8290612023692,-6.53591803553802
"346","L.Thomas","00-0031260",16,139,146.538389115381,9.15864931971128,-7.53838911538051
"347","S.Sims","00-0034928",11,46,48.3320927386209,4.3938266126019,-2.3320927386209
"348","T.McLaurin","00-0035659",15,179.3,184.943299872275,12.3295533248183,-5.64329987227472
