first_name,last_name,team,position,adp,avg_price
Graham,Gano,NY,GK,140.1,1
Nyheim,Hines,Ind,RB,140.6,1.1
Phillip,Lindsay,Hou,RB,142.5,1.2
Broncos,D/ST,DenD/,ST,143.7,1.2
Jason,Sanders,Mi,aK,144.7,1.2
Devin,Singletary,Buf,RB,144.9,1.3
Patriots,D/ST,NED/,ST,145.3,1.1
Brandon,McManus,De,nK,146.4,1.1
Justin,Fields,Chi,QB,146.4,1.6
Matt,Gay,LA,RK,146.9,1.2
Tua,Tagovailoa,Mia,QB,147.1,1.4
David,Johnson,Hou,RB,147.3,1.1
Mecole,Hardman,KC,WR,148.8,1.1
Evan,Engram,NYG,TE,148.8,0.8
Jakobi,Meyers,NE,WR,149.1,1
Irv,Smith,Min,TE,150.1,1.1
Browns,D/ST,CleD/,ST,150.4,1
DeVante,Parker,Mia,WR,151.3,0.9
Austin,Hooper,Cle,TE,151.6,0.6
Jalen,Reagor,Phi,WR,151.6,0.9
Darnell,Mooney,Chi,WR,152.5,1
Colts,D/ST,IndD/,ST,154.4,0.8
Matt,Ryan,Atl,QB,154.9,1.1
J.D.,McKissic,Wsh,RB,155.2,0.7
T.Y.,Hilton,Ind,WR,157.3,0.8
Trey,Lance,SF,QB,157.7,1.1
Ben,Roethlisberger,Pit,QB,158,0.9
Tyler,Bass,Bu,fK,158.4,1
Tony,Pollard,Dal,RB,160,0.8
James,White,NE,RB,160.4,0.6
Jameis,Winston,NO,QB,160.8,1
Parris,Campbell,Ind,WR,161.5,0.6
Tyrell,Williams,LV,WR,161.6,0.6
Zach,Ertz,Phi,TE,162.9,0.4
Eric,Ebron,Pit,TE,163.2,0.3
Randall,Cobb,HOU,WR,163.3,0.5
Elijah,Moore,NYJ,WR,163.3,0.6
Kirk,Cousins,Min,QB,163.8,0.8
Greg,Zuerlein,Da,lK,163.9,0.9
Alexander,Mattison,Min,RB,164.1,0.6
A.J.,Green,CIN,WR,164.3,0.5
Hunter,Henry,NE,TE,164.3,0.3
Nelson,Agholor,LV,WR,164.6,0.4
Russell,Gage,Atl,WR,164.9,0.4
Matt,Prater,Ar,iK,166.3,0.5
Ryan,Fitzpatrick,Wsh,QB,166.5,0.6
Saints,D/ST,NOD/,ST,166.5,0.3
Rodrigo,Blankenship,In,dK,166.6,0.5
Derek,Carr,LV,QB,166.7,0.5
Dolphins,D/ST,MiaD/,ST,166.9,0.3
Jamison,Crowder,NYJ,WR,166.9,0.3
Zach,Wilson,NYJ,QB,167.3,0.5
Vikings,D/ST,MinD/,ST,167.3,0.4
Chiefs,D/ST,KCD/,ST,167.4,0.2
Malcolm,Brown,LA,RB,167.6,0.4
Jared,Cook,NO,TE,167.7,0.2
Packers,D/ST,GBD/,ST,168.1,0.2
Daniel,Jones,NYG,QB,168.1,0.3
Mason,Crosby,G,BK,168.2,0.3
Deshaun,Watson,Hou,QB,168.2,0.5
Cole,Kmet,Chi,TE,168.2,0.2
Ty'Son,Williams,Bal,RB,168.3,0.2
Pat,Freiermuth,Pit,TE,168.6,0.1
Latavius,Murray,NO,RB,168.6,0.4
Rondale,Moore,Ari,WR,168.8,0.3
