"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","scaled_wopr"
"183","Donovan Peoples-Jones","WR","CLE",1,0,0,4,0,0,4,0,0.01,0.01,0.02,2.7
"184","Mohamed Sanu","WR","SF",1,1,9,5,4,0,5,1.8,0.01,0.01,0.02,2.7
"185","Lynn Bowden","WR","MIA",1,1,-1,-1,0,0,-1,1,0,0.01,0.01,1.4
"186","Pharoh Cooper","WR","CAR",1,1,12,8,4,0,8,1.5,0.01,0.01,0.01,1.4
"187","Tyrie Cleveland","WR","DEN",1,1,7,-2,9,0,-2,-3.5,0,0.01,0.01,1.4
"188","Brandon Zylstra","WR","CAR",0,0,0,0,0,0,0,0,0,0,0,0
"189","Deon Cain","WR","PIT",0,0,0,0,0,0,0,0,0,0,0,0
"190","James Proche","WR","BAL",0,0,0,0,0,0,0,0,0,0,0,0
"191","Jason Moore","WR","LAC",0,0,0,0,0,0,0,0,0,0,0,0
"192","Joe Reed","WR","LAC",0,0,0,0,0,0,0,0,0,0,0,0
"193","JoJo Natson","WR","CLE",0,0,0,0,0,0,0,0,0,0,0,0
"194","Keelan Doss","WR","LV",0,0,0,0,0,0,0,0,0,0,0,0
"195","Kevin White","WR","SF",0,0,0,0,0,0,0,0,0,0,0,0
"196","Mack Hollins","WR","MIA",0,0,0,0,0,0,0,0,0,0,0,0
"197","Malik Turner","WR","DAL",0,0,0,0,0,0,0,0,0,0,0,0
"198","Penny Hart","WR","SEA",0,0,0,0,0,0,0,0,0,0,0,0
"199","Quez Watkins","WR","PHI",0,0,0,0,0,0,0,0,0,0,0,0
"200","Reggie Begelton","WR","GB",0,0,0,0,0,0,0,0,0,0,0,0
"201","Richie James","WR","SF",0,0,0,0,0,0,0,0,0,0,0,0
"202","Taywan Taylor","WR","CLE",0,0,0,0,0,0,0,0,0,0,0,0
"203","Vyncint Smith","WR","NYJ",0,0,0,0,0,0,0,0,0,0,0,0
